dataset_id,treat_id,trials,Y_obs,Y_mis,treat
465,1,25019,465,458,Control
466,2,24967,451,445,Treatment
466,1,25033,442,426,Control
467,2,24936,448,477,Treatment
467,1,25064,459,463,Control
468,2,25007,437,464,Treatment
468,1,24993,447,445,Control
469,2,25124,457,457,Treatment
469,1,24876,435,427,Control
470,2,24953,406,441,Treatment
470,1,25047,450,425,Control
471,2,24870,419,418,Treatment
471,1,25130,441,440,Control
472,1,24976,410,468,Control
472,2,25024,471,445,Treatment
473,1,24960,425,427,Control
473,2,25040,434,420,Treatment
474,2,25084,443,419,Treatment
474,1,24916,395,413,Control
475,2,25003,428,428,Treatment
475,1,24997,420,447,Control
476,1,25026,408,455,Control
476,2,24974,484,453,Treatment
477,1,25063,462,471,Control
477,2,24937,437,428,Treatment
478,2,25097,451,459,Treatment
478,1,24903,394,404,Control
479,1,25035,434,436,Control
479,2,24965,410,427,Treatment
480,2,24980,447,430,Treatment
480,1,25020,402,451,Control
481,1,24998,457,390,Control
481,2,25002,409,456,Treatment
482,2,24944,436,451,Treatment
482,1,25056,432,447,Control
483,2,24945,443,405,Treatment
483,1,25055,436,478,Control
484,2,25059,410,451,Treatment
484,1,24941,427,468,Control
485,1,25088,445,448,Control
485,2,24912,441,417,Treatment
486,1,24997,445,460,Control
486,2,25003,398,405,Treatment
487,1,24987,456,456,Control
487,2,25013,451,449,Treatment
488,1,24899,453,430,Control
488,2,25101,408,452,Treatment
489,2,25111,406,443,Treatment
489,1,24889,423,445,Control
490,1,25092,437,447,Control
490,2,24908,434,452,Treatment
491,1,25032,456,443,Control
491,2,24968,452,409,Treatment
492,2,24896,458,444,Treatment
492,1,25104,443,445,Control
493,2,25037,457,435,Treatment
493,1,24963,419,441,Control
494,1,24946,419,403,Control
494,2,25054,440,455,Treatment
495,2,25124,432,457,Treatment
495,1,24876,425,441,Control
496,2,25061,405,433,Treatment
496,1,24939,457,397,Control
497,2,25063,467,441,Treatment
497,1,24937,417,434,Control
498,1,25046,459,430,Control
498,2,24954,448,453,Treatment
499,2,24825,408,432,Treatment
499,1,25175,475,418,Control
500,2,24889,427,443,Treatment
500,1,25111,413,474,Control
501,2,25067,412,450,Treatment
501,1,24933,434,437,Control
502,2,25156,464,443,Treatment
502,1,24844,425,409,Control
503,2,25122,452,443,Treatment
503,1,24878,430,443,Control
504,1,24700,406,427,Control
504,2,25300,428,447,Treatment
505,1,25004,395,443,Control
505,2,24996,388,417,Treatment
506,1,25023,414,444,Control
506,2,24977,463,419,Treatment
507,2,25000,411,460,Treatment
507,1,25000,441,456,Control
508,2,25075,450,423,Treatment
508,1,24925,395,426,Control
509,2,25014,430,434,Treatment
509,1,24986,457,450,Control
510,2,24900,438,449,Treatment
510,1,25100,452,459,Control
511,2,24996,440,445,Treatment
511,1,25004,469,408,Control
512,1,25072,419,425,Control
512,2,24928,448,394,Treatment
513,1,24959,432,427,Control
513,2,25041,429,407,Treatment
514,2,25044,440,465,Treatment
514,1,24956,392,434,Control
515,2,25030,446,423,Treatment
515,1,24970,426,443,Control
516,2,25099,462,437,Treatment
516,1,24901,423,443,Control
517,2,25010,410,455,Treatment
517,1,24990,447,445,Control
518,1,24881,431,441,Control
518,2,25119,450,432,Treatment
519,1,25012,422,432,Control
519,2,24988,421,422,Treatment
520,1,25106,417,440,Control
520,2,24894,459,418,Treatment
521,1,24874,454,426,Control
521,2,25126,414,400,Treatment
522,2,25012,441,417,Treatment
522,1,24988,418,447,Control
523,1,25034,428,463,Control
523,2,24966,461,429,Treatment
524,2,25042,429,435,Treatment
524,1,24958,432,450,Control
525,2,25223,465,417,Treatment
525,1,24777,444,416,Control
526,2,24768,408,422,Treatment
526,1,25232,445,398,Control
527,2,24955,439,448,Treatment
527,1,25045,451,460,Control
528,2,25097,402,439,Treatment
528,1,24903,461,447,Control
529,1,25069,416,439,Control
529,2,24931,449,398,Treatment
530,1,24868,479,405,Control
530,2,25132,410,493,Treatment
531,2,25216,440,442,Treatment
531,1,24784,428,444,Control
532,1,25031,439,429,Control
532,2,24969,461,410,Treatment
533,1,24969,461,431,Control
533,2,25031,445,457,Treatment
534,1,24889,394,429,Control
534,2,25111,465,484,Treatment
535,1,24697,377,424,Control
535,2,25303,446,425,Treatment
536,1,25076,445,435,Control
536,2,24924,430,452,Treatment
537,2,25191,449,469,Treatment
537,1,24809,448,413,Control
538,1,24933,437,456,Control
538,2,25067,432,406,Treatment
539,2,25041,441,475,Treatment
539,1,24959,456,421,Control
540,1,25045,446,443,Control
540,2,24955,421,429,Treatment
541,2,25163,422,415,Treatment
541,1,24837,423,442,Control
542,2,24789,418,409,Treatment
542,1,25211,457,421,Control
543,2,25071,435,416,Treatment
543,1,24929,428,418,Control
544,2,25172,441,489,Treatment
544,1,24828,435,448,Control
545,1,24837,395,466,Control
545,2,25163,460,451,Treatment
546,2,24872,441,414,Treatment
546,1,25128,451,442,Control
547,1,25126,432,403,Control
547,2,24874,444,441,Treatment
548,1,25169,430,422,Control
548,2,24831,407,426,Treatment
549,1,25046,414,459,Control
549,2,24954,401,421,Treatment
550,2,25032,427,448,Treatment
550,1,24968,409,463,Control
551,2,25123,458,444,Treatment
551,1,24877,415,421,Control
552,2,25044,421,440,Treatment
552,1,24956,443,445,Control
553,2,24975,431,430,Treatment
553,1,25025,423,439,Control
554,1,24958,471,424,Control
554,2,25042,406,455,Treatment
555,2,25063,415,416,Treatment
555,1,24937,444,415,Control
556,1,25079,455,428,Control
556,2,24921,437,475,Treatment
557,2,24807,409,480,Treatment
557,1,25193,457,429,Control
558,1,24943,431,456,Control
558,2,25057,444,404,Treatment
559,1,24835,412,473,Control
559,2,25165,401,421,Treatment
560,1,25028,446,453,Control
560,2,24972,457,480,Treatment
561,1,24787,399,445,Control
561,2,25213,417,449,Treatment
562,1,24957,455,425,Control
562,2,25043,439,427,Treatment
563,1,24999,418,437,Control
563,2,25001,451,441,Treatment
564,2,24956,393,455,Treatment
564,1,25044,444,448,Control
565,1,25229,462,409,Control
565,2,24771,376,424,Treatment
566,2,25054,438,425,Treatment
566,1,24946,453,440,Control
567,2,24944,424,392,Treatment
567,1,25056,445,452,Control
568,1,25337,422,472,Control
568,2,24663,390,449,Treatment
569,2,25258,447,461,Treatment
569,1,24742,390,403,Control
570,1,24936,412,420,Control
570,2,25064,508,413,Treatment
571,2,24874,369,440,Treatment
571,1,25126,426,482,Control
572,1,25237,402,441,Control
572,2,24763,435,427,Treatment
573,2,24958,431,438,Treatment
573,1,25042,411,423,Control
574,2,24787,448,404,Treatment
574,1,25213,434,450,Control
575,1,25126,440,460,Control
575,2,24874,481,459,Treatment
576,1,24899,453,397,Control
576,2,25101,400,448,Treatment
577,2,25053,460,452,Treatment
577,1,24947,434,461,Control
578,1,25001,408,430,Control
578,2,24999,444,487,Treatment
579,2,24946,404,405,Treatment
579,1,25054,459,424,Control
580,2,25049,451,437,Treatment
580,1,24951,461,398,Control
581,1,24909,405,455,Control
581,2,25091,460,428,Treatment
582,1,24969,383,459,Control
582,2,25031,454,434,Treatment
583,1,24880,462,396,Control
583,2,25120,441,442,Treatment
584,1,24984,442,442,Control
584,2,25016,451,466,Treatment
585,2,25073,435,465,Treatment
585,1,24927,412,466,Control
586,1,24864,469,439,Control
586,2,25136,445,416,Treatment
587,1,25036,414,468,Control
587,2,24964,432,435,Treatment
588,1,25057,456,452,Control
588,2,24943,421,433,Treatment
589,2,25034,451,426,Treatment
589,1,24966,455,472,Control
590,2,25077,412,479,Treatment
590,1,24923,405,434,Control
591,1,24900,429,433,Control
591,2,25100,418,431,Treatment
592,2,24877,411,425,Treatment
592,1,25123,418,466,Control
593,2,25039,451,460,Treatment
593,1,24961,409,427,Control
594,1,24872,446,442,Control
594,2,25128,414,453,Treatment
595,2,25038,453,467,Treatment
595,1,24962,442,385,Control
596,2,25151,434,444,Treatment
596,1,24849,419,478,Control
597,1,24859,457,433,Control
597,2,25141,444,436,Treatment
598,1,25000,407,473,Control
598,2,25000,426,424,Treatment
599,1,25048,405,480,Control
599,2,24952,421,470,Treatment
600,2,25003,465,443,Treatment
600,1,24997,428,449,Control
601,2,24951,462,461,Treatment
601,1,25049,460,445,Control
602,1,24869,419,433,Control
602,2,25131,476,442,Treatment
603,1,24987,465,405,Control
603,2,25013,447,402,Treatment
604,2,25029,447,471,Treatment
604,1,24971,430,452,Control
605,1,25107,428,484,Control
605,2,24893,434,449,Treatment
606,1,24898,420,416,Control
606,2,25102,455,430,Treatment
607,2,25099,437,404,Treatment
607,1,24901,418,433,Control
608,2,25010,442,433,Treatment
608,1,24990,449,437,Control
609,2,24751,446,429,Treatment
609,1,25249,448,440,Control
610,2,25143,424,427,Treatment
610,1,24857,444,440,Control
611,2,25071,435,420,Treatment
611,1,24929,446,401,Control
612,2,24802,447,463,Treatment
612,1,25198,444,463,Control
613,1,24894,435,424,Control
613,2,25106,409,449,Treatment
614,2,25018,454,428,Treatment
614,1,24982,413,442,Control
615,2,25082,436,407,Treatment
615,1,24918,467,451,Control
616,2,25169,456,442,Treatment
616,1,24831,447,473,Control
617,1,24942,479,451,Control
617,2,25058,440,446,Treatment
618,2,25101,407,442,Treatment
618,1,24899,418,468,Control
619,2,24938,422,446,Treatment
619,1,25062,474,439,Control
620,1,24964,446,442,Control
620,2,25036,450,456,Treatment
621,2,24981,427,433,Treatment
621,1,25019,429,455,Control
622,2,24958,427,443,Treatment
622,1,25042,462,453,Control
623,2,25114,437,400,Treatment
623,1,24886,445,387,Control
624,1,24960,425,433,Control
624,2,25040,438,448,Treatment
625,2,24894,460,426,Treatment
625,1,25106,455,446,Control
626,2,25127,437,445,Treatment
626,1,24873,410,449,Control
627,2,24859,413,494,Treatment
627,1,25141,408,425,Control
628,1,25046,423,433,Control
628,2,24954,445,434,Treatment
629,1,25108,478,450,Control
629,2,24892,458,418,Treatment
630,1,24815,457,441,Control
630,2,25185,436,484,Treatment
631,1,25148,460,434,Control
631,2,24852,412,423,Treatment
632,2,24883,435,434,Treatment
632,1,25117,422,426,Control
633,2,25067,455,419,Treatment
633,1,24933,453,427,Control
634,1,24996,424,426,Control
634,2,25004,413,468,Treatment
635,2,25001,479,455,Treatment
635,1,24999,456,414,Control
636,2,25072,445,440,Treatment
636,1,24928,424,429,Control
637,1,25142,454,398,Control
637,2,24858,479,428,Treatment
638,1,25064,444,429,Control
638,2,24936,424,433,Treatment
639,2,25043,466,461,Treatment
639,1,24957,447,385,Control
640,1,24958,437,432,Control
640,2,25042,453,411,Treatment
641,2,25162,455,459,Treatment
641,1,24838,415,444,Control
642,1,24794,412,418,Control
642,2,25206,450,428,Treatment
643,1,24941,462,447,Control
643,2,25059,438,471,Treatment
644,1,24959,441,415,Control
644,2,25041,450,433,Treatment
645,1,25159,458,426,Control
645,2,24841,431,442,Treatment
646,1,24975,440,427,Control
646,2,25025,446,477,Treatment
647,1,25060,402,439,Control
647,2,24940,427,471,Treatment
648,1,24973,427,405,Control
648,2,25027,419,430,Treatment
649,1,25224,458,454,Control
649,2,24776,454,457,Treatment
650,2,24930,425,385,Treatment
650,1,25070,414,433,Control
651,2,24896,438,430,Treatment
651,1,25104,424,421,Control
652,1,24756,456,436,Control
652,2,25244,451,458,Treatment
653,1,25061,421,511,Control
653,2,24939,457,403,Treatment
654,1,25006,447,445,Control
654,2,24994,429,459,Treatment
655,2,24822,429,449,Treatment
655,1,25178,451,476,Control
656,2,24863,463,446,Treatment
656,1,25137,453,479,Control
657,1,24977,466,431,Control
657,2,25023,416,446,Treatment
658,1,24751,422,469,Control
658,2,25249,440,432,Treatment
659,2,25051,473,438,Treatment
659,1,24949,435,380,Control
660,2,25148,461,466,Treatment
660,1,24852,466,437,Control
661,1,25087,471,425,Control
661,2,24913,440,421,Treatment
662,1,25040,450,440,Control
662,2,24960,444,467,Treatment
663,2,25090,445,425,Treatment
663,1,24910,425,423,Control
664,2,25186,400,410,Treatment
664,1,24814,446,445,Control
665,2,25013,407,455,Treatment
665,1,24987,425,443,Control
666,1,24910,469,439,Control
666,2,25090,456,421,Treatment
667,2,25198,482,449,Treatment
667,1,24802,466,419,Control
668,1,24991,449,423,Control
668,2,25009,441,435,Treatment
669,2,25106,422,448,Treatment
669,1,24894,469,438,Control
670,2,24811,428,431,Treatment
670,1,25189,418,496,Control
671,2,24839,413,420,Treatment
671,1,25161,463,455,Control
672,1,24910,421,456,Control
672,2,25090,415,430,Treatment
673,1,25076,449,419,Control
673,2,24924,421,456,Treatment
674,1,25000,429,441,Control
674,2,25000,439,449,Treatment
675,1,24914,451,423,Control
675,2,25086,443,447,Treatment
676,2,24962,443,455,Treatment
676,1,25038,411,471,Control
677,2,24962,412,433,Treatment
677,1,25038,400,438,Control
678,1,25157,422,393,Control
678,2,24843,452,468,Treatment
679,1,25000,460,427,Control
679,2,25000,422,452,Treatment
680,2,24788,470,430,Treatment
680,1,25212,475,387,Control
681,1,24953,459,462,Control
681,2,25047,450,424,Treatment
682,2,24808,429,449,Treatment
682,1,25192,432,462,Control
683,2,24950,422,464,Treatment
683,1,25050,447,415,Control
684,1,25128,432,479,Control
684,2,24872,436,470,Treatment
685,2,25056,422,467,Treatment
685,1,24944,453,462,Control
686,1,24991,443,411,Control
686,2,25009,433,475,Treatment
687,1,25029,391,463,Control
687,2,24971,454,422,Treatment
688,2,25127,425,446,Treatment
688,1,24873,407,424,Control
689,2,25084,421,438,Treatment
689,1,24916,429,444,Control
690,2,24887,426,441,Treatment
690,1,25113,460,444,Control
691,1,24891,461,442,Control
691,2,25109,458,440,Treatment
692,2,24955,430,405,Treatment
692,1,25045,454,439,Control
693,1,24887,430,428,Control
693,2,25113,509,435,Treatment
694,1,25078,432,433,Control
694,2,24922,379,462,Treatment
695,2,24960,389,405,Treatment
695,1,25040,417,445,Control
696,1,25077,445,438,Control
696,2,24923,432,426,Treatment
697,1,24924,402,463,Control
697,2,25076,430,451,Treatment
698,2,25074,422,462,Treatment
698,1,24926,425,481,Control
699,1,24825,403,427,Control
699,2,25175,470,426,Treatment
700,2,25200,462,474,Treatment
700,1,24800,393,418,Control
701,1,24921,432,407,Control
701,2,25079,446,425,Treatment
702,2,25083,403,451,Treatment
702,1,24917,416,416,Control
703,2,24999,431,420,Treatment
703,1,25001,421,429,Control
704,2,25129,452,440,Treatment
704,1,24871,440,432,Control
705,2,25067,500,470,Treatment
705,1,24933,396,489,Control
706,1,25012,402,464,Control
706,2,24988,422,406,Treatment
707,1,24965,414,396,Control
707,2,25035,410,417,Treatment
708,2,24942,403,456,Treatment
708,1,25058,463,422,Control
709,2,24984,416,416,Treatment
709,1,25016,497,428,Control
710,1,24809,395,456,Control
710,2,25191,458,433,Treatment
711,2,25076,413,452,Treatment
711,1,24924,443,462,Control
712,1,25018,413,433,Control
712,2,24982,433,432,Treatment
713,1,24985,439,433,Control
713,2,25015,452,412,Treatment
714,2,25081,455,423,Treatment
714,1,24919,409,387,Control
715,2,24904,432,404,Treatment
715,1,25096,442,428,Control
716,1,24969,433,439,Control
716,2,25031,432,461,Treatment
717,2,24894,470,399,Treatment
717,1,25106,422,423,Control
718,2,24918,459,439,Treatment
718,1,25082,414,480,Control
719,1,24962,433,439,Control
719,2,25038,467,462,Treatment
720,2,25056,446,427,Treatment
720,1,24944,450,439,Control
721,1,24953,424,422,Control
721,2,25047,424,433,Treatment
722,1,25075,447,446,Control
722,2,24925,396,442,Treatment
723,2,24873,412,447,Treatment
723,1,25127,430,479,Control
724,1,25051,415,448,Control
724,2,24949,429,437,Treatment
725,2,25146,436,436,Treatment
725,1,24854,452,423,Control
726,1,25189,426,451,Control
726,2,24811,429,405,Treatment
727,1,25220,409,431,Control
727,2,24780,408,452,Treatment
728,2,25046,434,449,Treatment
728,1,24954,458,456,Control
729,1,24834,413,444,Control
729,2,25166,438,418,Treatment
730,1,25130,436,432,Control
730,2,24870,423,448,Treatment
731,1,25235,414,466,Control
731,2,24765,454,429,Treatment
732,1,25105,435,432,Control
732,2,24895,411,439,Treatment
733,1,25031,417,430,Control
733,2,24969,473,420,Treatment
734,2,25236,430,461,Treatment
734,1,24764,436,413,Control
735,1,24807,415,427,Control
735,2,25193,448,454,Treatment
736,2,24931,421,397,Treatment
736,1,25069,429,415,Control
737,2,25107,407,430,Treatment
737,1,24893,450,457,Control
738,1,24928,425,421,Control
738,2,25072,467,447,Treatment
739,1,24949,411,457,Control
739,2,25051,470,437,Treatment
740,2,25214,438,436,Treatment
740,1,24786,419,437,Control
741,1,25017,448,428,Control
741,2,24983,417,423,Treatment
742,2,25020,446,444,Treatment
742,1,24980,452,430,Control
743,2,25028,482,390,Treatment
743,1,24972,438,413,Control
744,2,25170,439,469,Treatment
744,1,24830,424,424,Control
745,1,25041,453,427,Control
745,2,24959,437,433,Treatment
746,2,25241,425,423,Treatment
746,1,24759,373,414,Control
747,2,25089,461,453,Treatment
747,1,24911,483,463,Control
748,2,25013,401,415,Treatment
748,1,24987,413,435,Control
749,1,25033,456,412,Control
749,2,24967,498,439,Treatment
750,2,25033,420,445,Treatment
750,1,24967,456,443,Control
751,1,24878,424,440,Control
751,2,25122,428,450,Treatment
752,1,25101,442,468,Control
752,2,24899,442,442,Treatment
753,2,25039,435,431,Treatment
753,1,24961,447,437,Control
754,2,24816,442,433,Treatment
754,1,25184,437,455,Control
755,2,25198,414,434,Treatment
755,1,24802,409,408,Control
756,1,25097,438,445,Control
756,2,24903,444,374,Treatment
757,1,24945,460,503,Control
757,2,25055,420,416,Treatment
758,1,25206,464,440,Control
758,2,24794,410,473,Treatment
759,2,25042,459,470,Treatment
759,1,24958,434,451,Control
760,1,25028,436,442,Control
760,2,24972,412,416,Treatment
761,2,24914,429,446,Treatment
761,1,25086,430,427,Control
762,2,24860,394,431,Treatment
762,1,25140,440,457,Control
763,1,24992,426,439,Control
763,2,25008,413,428,Treatment
764,1,25128,466,462,Control
764,2,24872,465,413,Treatment
765,1,24916,474,447,Control
765,2,25084,435,422,Treatment
766,1,24903,449,450,Control
766,2,25097,436,440,Treatment
767,1,25030,439,444,Control
767,2,24970,442,441,Treatment
768,2,25212,455,431,Treatment
768,1,24788,454,449,Control
769,1,25054,444,462,Control
769,2,24946,437,435,Treatment
770,2,24999,473,436,Treatment
770,1,25001,446,410,Control
771,1,24774,436,406,Control
771,2,25226,411,484,Treatment
772,1,24847,478,496,Control
772,2,25153,443,407,Treatment
773,2,24884,402,417,Treatment
773,1,25116,419,453,Control
774,1,25112,403,479,Control
774,2,24888,423,418,Treatment
775,2,24990,435,424,Treatment
775,1,25010,454,431,Control
776,2,24853,430,444,Treatment
776,1,25147,389,415,Control
777,1,25192,451,461,Control
777,2,24808,421,408,Treatment
778,1,25066,440,486,Control
778,2,24934,441,461,Treatment
779,1,24933,399,428,Control
779,2,25067,475,454,Treatment
780,2,25117,437,457,Treatment
780,1,24883,451,453,Control
781,1,25078,426,420,Control
781,2,24922,446,417,Treatment
782,2,24940,444,434,Treatment
782,1,25060,431,441,Control
783,2,24889,425,450,Treatment
783,1,25111,431,452,Control
784,2,25139,443,408,Treatment
784,1,24861,437,417,Control
785,2,24804,422,419,Treatment
785,1,25196,463,450,Control
786,1,24956,469,419,Control
786,2,25044,450,431,Treatment
787,1,24918,425,429,Control
787,2,25082,457,409,Treatment
788,1,25030,429,444,Control
788,2,24970,448,426,Treatment
789,2,25031,431,455,Treatment
789,1,24969,449,423,Control
790,1,24891,423,433,Control
790,2,25109,468,449,Treatment
791,1,24915,445,439,Control
791,2,25085,459,456,Treatment
792,2,25138,463,444,Treatment
792,1,24862,432,440,Control
793,2,24993,381,430,Treatment
793,1,25007,455,452,Control
794,1,25057,427,436,Control
794,2,24943,421,440,Treatment
795,1,24882,459,420,Control
795,2,25118,445,454,Treatment
796,2,25050,435,425,Treatment
796,1,24950,479,409,Control
797,2,25136,466,418,Treatment
797,1,24864,408,405,Control
798,1,25097,443,441,Control
798,2,24903,402,435,Treatment
799,2,25169,420,427,Treatment
799,1,24831,419,407,Control
800,2,25171,467,404,Treatment
800,1,24829,451,422,Control
801,2,25144,452,446,Treatment
801,1,24856,442,405,Control
802,1,24938,445,430,Control
802,2,25062,445,467,Treatment
803,1,25058,444,464,Control
803,2,24942,423,424,Treatment
804,2,25056,442,414,Treatment
804,1,24944,445,423,Control
805,1,24996,416,449,Control
805,2,25004,442,416,Treatment
806,1,24823,425,435,Control
806,2,25177,429,456,Treatment
807,2,24844,446,437,Treatment
807,1,25156,418,418,Control
808,1,24908,450,450,Control
808,2,25092,435,449,Treatment
809,1,25067,424,460,Control
809,2,24933,428,461,Treatment
810,1,24996,478,424,Control
810,2,25004,448,427,Treatment
811,1,24768,439,454,Control
811,2,25232,416,428,Treatment
812,2,25249,395,465,Treatment
812,1,24751,472,447,Control
813,2,25294,456,426,Treatment
813,1,24706,463,416,Control
814,1,24956,450,479,Control
814,2,25044,417,422,Treatment
815,2,24896,466,480,Treatment
815,1,25104,428,456,Control
816,1,24834,408,426,Control
816,2,25166,424,411,Treatment
817,2,24952,424,455,Treatment
817,1,25048,469,405,Control
818,2,25017,418,397,Treatment
818,1,24983,448,463,Control
819,1,25013,413,452,Control
819,2,24987,445,417,Treatment
820,1,24925,414,437,Control
820,2,25075,430,447,Treatment
821,1,25029,429,449,Control
821,2,24971,465,428,Treatment
822,1,24899,416,426,Control
822,2,25101,442,417,Treatment
823,1,25073,437,410,Control
823,2,24927,417,433,Treatment
824,1,25075,448,473,Control
824,2,24925,439,406,Treatment
825,2,24863,402,436,Treatment
825,1,25137,411,466,Control
826,1,24958,427,412,Control
826,2,25042,424,489,Treatment
827,2,24880,453,449,Treatment
827,1,25120,446,435,Control
828,1,24895,430,460,Control
828,2,25105,456,426,Treatment
829,1,24872,453,400,Control
829,2,25128,430,440,Treatment
830,2,24921,442,404,Treatment
830,1,25079,430,417,Control
831,2,25104,451,454,Treatment
831,1,24896,411,443,Control
832,2,24922,402,424,Treatment
832,1,25078,440,394,Control
833,2,24985,467,452,Treatment
833,1,25015,417,447,Control
834,1,25108,409,423,Control
834,2,24892,465,426,Treatment
835,1,24947,434,444,Control
835,2,25053,425,445,Treatment
836,2,24958,437,441,Treatment
836,1,25042,417,453,Control
837,2,24882,420,444,Treatment
837,1,25118,447,473,Control
838,2,25092,452,408,Treatment
838,1,24908,437,411,Control
839,1,25170,428,400,Control
839,2,24830,407,426,Treatment
840,1,24889,470,412,Control
840,2,25111,479,427,Treatment
841,1,24990,446,414,Control
841,2,25010,414,451,Treatment
842,2,24832,407,423,Treatment
842,1,25168,454,415,Control
843,1,25048,468,438,Control
843,2,24952,420,461,Treatment
844,1,24961,403,440,Control
844,2,25039,471,429,Treatment
845,1,25135,415,404,Control
845,2,24865,418,421,Treatment
846,2,25008,463,469,Treatment
846,1,24992,436,418,Control
847,1,25112,470,453,Control
847,2,24888,406,428,Treatment
848,2,24904,437,439,Treatment
848,1,25096,442,448,Control
849,1,24898,456,411,Control
849,2,25102,450,434,Treatment
850,1,25035,463,435,Control
850,2,24965,418,408,Treatment
851,1,25128,461,388,Control
851,2,24872,428,451,Treatment
852,2,24951,450,446,Treatment
852,1,25049,426,448,Control
853,1,24943,433,437,Control
853,2,25057,423,442,Treatment
854,2,25050,456,476,Treatment
854,1,24950,461,431,Control
855,2,24860,428,436,Treatment
855,1,25140,452,447,Control
856,2,25193,429,412,Treatment
856,1,24807,479,414,Control
857,1,25117,413,461,Control
857,2,24883,463,443,Treatment
858,1,25019,423,409,Control
858,2,24981,445,437,Treatment
859,2,25146,438,432,Treatment
859,1,24854,435,458,Control
860,2,25001,433,425,Treatment
860,1,24999,438,407,Control
861,1,24942,465,438,Control
861,2,25058,434,399,Treatment
862,2,25011,452,438,Treatment
862,1,24989,409,471,Control
863,2,24850,444,448,Treatment
863,1,25150,447,447,Control
864,2,24786,442,461,Treatment
864,1,25214,426,442,Control
865,1,24938,441,454,Control
865,2,25062,448,454,Treatment
866,1,24990,440,431,Control
866,2,25010,428,426,Treatment
867,1,24932,440,441,Control
867,2,25068,437,415,Treatment
868,2,24924,435,410,Treatment
868,1,25076,456,485,Control
869,1,25033,411,449,Control
869,2,24967,429,412,Treatment
870,2,24969,422,399,Treatment
870,1,25031,417,425,Control
871,2,24787,410,435,Treatment
871,1,25213,437,454,Control
872,1,24994,469,439,Control
872,2,25006,460,442,Treatment
873,2,25000,436,434,Treatment
873,1,25000,470,439,Control
874,1,24770,454,420,Control
874,2,25230,442,451,Treatment
875,2,24863,426,442,Treatment
875,1,25137,430,431,Control
876,1,24771,438,424,Control
876,2,25229,418,438,Treatment
877,2,25064,458,449,Treatment
877,1,24936,446,417,Control
878,1,24993,450,457,Control
878,2,25007,450,431,Treatment
879,2,25163,454,436,Treatment
879,1,24837,399,453,Control
880,2,25057,429,408,Treatment
880,1,24943,440,414,Control
881,1,24800,460,452,Control
881,2,25200,466,454,Treatment
882,2,24883,430,412,Treatment
882,1,25117,453,413,Control
883,1,25008,447,440,Control
883,2,24992,430,425,Treatment
884,1,25286,434,420,Control
884,2,24714,402,431,Treatment
885,1,25149,471,436,Control
885,2,24851,430,493,Treatment
886,1,24878,413,398,Control
886,2,25122,420,395,Treatment
887,2,25063,452,424,Treatment
887,1,24937,420,422,Control
888,1,24991,463,432,Control
888,2,25009,440,420,Treatment
889,2,24965,438,414,Treatment
889,1,25035,456,427,Control
890,2,24930,447,420,Treatment
890,1,25070,478,475,Control
891,2,24834,425,447,Treatment
891,1,25166,500,426,Control
892,2,24925,425,398,Treatment
892,1,25075,390,389,Control
893,1,24978,459,428,Control
893,2,25022,432,444,Treatment
894,2,24875,421,468,Treatment
894,1,25125,437,477,Control
895,1,24799,411,413,Control
895,2,25201,424,413,Treatment
896,2,24931,438,435,Treatment
896,1,25069,448,430,Control
897,2,24980,445,415,Treatment
897,1,25020,432,406,Control
898,2,24912,459,438,Treatment
898,1,25088,403,480,Control
899,1,24815,410,410,Control
899,2,25185,435,432,Treatment
900,1,24951,439,437,Control
900,2,25049,433,398,Treatment
901,2,24969,444,442,Treatment
901,1,25031,453,459,Control
902,2,25036,430,422,Treatment
902,1,24964,456,433,Control
903,2,25155,426,415,Treatment
903,1,24845,422,446,Control
904,2,24905,407,442,Treatment
904,1,25095,438,454,Control
905,2,24876,437,411,Treatment
905,1,25124,448,427,Control
906,2,25139,427,430,Treatment
906,1,24861,399,472,Control
907,1,25010,444,459,Control
907,2,24990,417,431,Treatment
908,1,24985,425,423,Control
908,2,25015,422,442,Treatment
909,1,25039,451,453,Control
909,2,24961,412,431,Treatment
910,1,24777,423,441,Control
910,2,25223,428,431,Treatment
911,1,25023,424,428,Control
911,2,24977,409,463,Treatment
912,2,25177,426,442,Treatment
912,1,24823,437,464,Control
913,2,25084,428,456,Treatment
913,1,24916,434,417,Control
914,1,24970,410,430,Control
914,2,25030,432,404,Treatment
915,1,24832,435,425,Control
915,2,25168,429,438,Treatment
916,1,24966,444,451,Control
916,2,25034,435,422,Treatment
917,2,25049,429,414,Treatment
917,1,24951,431,455,Control
918,2,24850,434,432,Treatment
918,1,25150,469,424,Control
919,1,25020,455,444,Control
919,2,24980,467,424,Treatment
920,1,25021,429,467,Control
920,2,24979,411,430,Treatment
921,2,24969,445,452,Treatment
921,1,25031,420,438,Control
922,1,25064,427,454,Control
922,2,24936,438,424,Treatment
923,1,24962,435,406,Control
923,2,25038,464,463,Treatment
924,1,25175,429,425,Control
924,2,24825,426,440,Treatment
925,2,24912,437,412,Treatment
925,1,25088,448,432,Control
926,1,24968,432,418,Control
926,2,25032,435,423,Treatment
927,2,24919,463,430,Treatment
927,1,25081,460,439,Control
928,1,25015,449,444,Control
928,2,24985,477,453,Treatment
929,1,24894,446,385,Control
929,2,25106,442,472,Treatment
930,2,24884,465,445,Treatment
930,1,25116,445,455,Control
